iter	RMSE
0	3008.896061
1	2770.52674
2	2555.218594
3	2373.714811
4	2213.716571
5	2061.684386
6	1923.607447
7	1789.173325
8	1669.023793
9	1572.269406
10	1490.409175
11	1405.743912
12	1327.188535
13	1260.189524
14	1198.322951
15	1145.481094
16	1098.751139
17	1055.17706
18	1016.808421
19	984.9637082
20	958.3116872
21	933.9048784
22	911.4702372
23	893.0399487
24	877.9398434
25	864.1521539
26	852.8477554
27	837.8624186
28	823.7291602
29	811.3029462
30	798.5496135
31	791.0564894
32	776.9481971
33	766.0736412
34	760.8869635
35	747.8362205
36	747.0308828
37	742.1788976
38	734.1146678
39	729.2247363
40	724.0925813
41	719.3660993
42	715.2271207
43	714.7177235
44	708.1309193
45	705.2764233
46	703.2443932
47	694.9684997
48	692.5286651
49	691.8807281
50	688.8817939
51	682.8081392
52	674.0351287
53	671.5494638
54	664.9441495
55	661.8347503
56	659.0578245
57	657.5632008
58	650.4429942
59	647.5562673
60	642.3619669
61	639.926562
62	633.9799681
63	629.8287987
64	620.069708
65	617.0227912
66	616.1969185
67	615.4237072
68	611.8385277
69	611.1749566
70	604.0363218
71	602.8140594
72	600.1615934
73	595.0944502
74	594.0499594
75	591.2300907
76	590.0385602
77	583.7922765
78	578.225989
79	576.7799431
80	576.3586694
81	572.9812738
82	569.5315788
83	568.5658928
84	567.916525
85	566.4056342
86	564.8491989
87	562.590694
88	554.4363161
89	552.4655512
90	551.1347548
91	545.981461
92	543.4697577
93	540.4025643
94	538.110281
95	535.6377921
96	531.1192523
97	528.7447843
98	527.7776051
99	526.343446
