year,district,is_total,is_urban,is_rural
2019,127,True,False,False
2019,208,False,False,True
2021,205,True,False,False
2012,57,False,True,False
2021,238,False,False,True
2009,168,False,True,False
2011,22,True,False,False
2015,80,False,True,False
2011,52,True,False,False
2014,14,False,True,False
2013,81,False,True,False
2018,156,True,False,False
2003,118,False,True,False
2003,13,True,False,False
2013,201,False,False,True
2020,217,False,True,False
2021,191,False,False,True
2019,148,True,False,False
2020,33,False,False,True
2019,86,True,False,False
2013,59,True,False,False
2018,149,False,False,True
2016,40,False,False,True
2022,89,True,False,False
2009,142,False,False,True
2013,151,True,False,False
2022,5,True,False,False
2021,56,True,False,False
2007,187,True,False,False
2017,8,True,False,False
2017,18,True,False,False
2019,226,True,False,False
2008,29,True,False,False
2011,180,True,False,False
2011,182,False,True,False
2021,42,True,False,False
2020,185,False,False,True
2022,186,True,False,False
2016,229,False,True,False
2018,75,True,False,False
2023,173,True,False,False
2020,204,False,False,True
2023,124,True,False,False
2013,87,False,False,True
2012,191,False,False,True
2016,28,False,False,True
2017,205,False,False,True
2001,64,False,True,False
2012,183,True,False,False
2020,81,True,False,False
2011,89,False,False,True
2009,23,True,False,False
2018,219,False,False,True
2011,12,True,False,False
2018,81,True,False,False
2015,179,True,False,False
2020,178,False,True,False
2008,132,True,False,False
2015,238,False,False,True
2009,38,True,False,False
2011,183,True,False,False
2015,223,False,True,False
2021,170,False,True,False
2018,233,False,False,True
2011,195,True,False,False
2011,10,True,False,False
2016,89,False,True,False
2020,24,False,False,True
2006,52,True,False,False
2021,39,False,False,True
2009,72,False,True,False
2013,205,False,True,False
2018,38,False,False,True
2005,29,True,False,False
2013,136,True,False,False
2019,77,False,True,False
2018,6,False,False,True
2009,100,False,False,True
2021,93,False,False,True
2017,78,False,False,True
2016,83,False,False,True
2011,151,False,False,True
2022,57,True,False,False
2018,98,False,True,False
2015,236,False,False,True
2018,60,False,False,True
2022,149,True,False,False
2019,26,False,False,True
2014,25,False,False,True
2016,150,False,False,True
2019,105,True,False,False
2011,66,False,False,True
2023,159,False,False,True
2021,123,True,False,False
2022,44,False,True,False
2014,137,True,False,False
2022,64,False,True,False
2018,116,False,False,True
2016,92,True,False,False
2010,191,False,False,True
2011,206,False,False,True
2018,158,False,False,True
2011,73,True,False,False
2018,14,False,False,True
2019,24,True,False,False
2021,222,True,False,False
2009,45,False,False,True
2010,217,True,False,False
2020,119,False,True,False
2020,151,True,False,False
2009,80,False,True,False
2020,70,False,False,True
2023,221,True,False,False
2015,16,False,True,False
2023,2,True,False,False
2009,69,False,False,True
2018,152,False,False,True
2022,205,True,False,False
2011,45,False,False,True
2022,226,False,True,False
2015,135,False,False,True
2010,93,True,False,False
2002,95,True,False,False
2021,89,False,True,False
2010,209,False,True,False
2009,167,False,False,True
2015,100,False,False,True
2013,137,False,False,True
2017,116,True,False,False
2012,213,True,False,False
2017,94,False,True,False
2004,82,True,False,False
2011,195,False,True,False
2016,198,True,False,False
2023,180,False,False,True
2019,150,True,False,False
2014,205,False,False,True
2013,24,False,False,True
2005,237,True,False,False
2013,46,False,True,False
2014,3,False,False,True
2016,44,True,False,False
2016,13,False,True,False
2018,114,False,False,True
2012,232,True,False,False
2017,6,True,False,False
2011,179,True,False,False
2019,22,False,False,True
2018,166,True,False,False
2010,223,False,True,False
2021,125,False,True,False
2011,227,False,True,False
2015,227,False,False,True
2013,176,True,False,False
2013,190,False,False,True
2012,80,True,False,False
2023,201,False,False,True
2021,6,True,False,False
2010,65,False,False,True
2009,70,True,False,False
2021,124,True,False,False
2013,140,True,False,False
2011,72,False,True,False
2020,8,False,False,True
2015,129,True,False,False
2013,22,True,False,False
2010,50,False,True,False
2005,18,True,False,False
2022,104,False,True,False
2019,144,True,False,False
2019,69,False,False,True
2021,111,False,False,True
2020,125,False,False,True
2004,132,True,False,False
2015,30,True,False,False
2014,210,True,False,False
2018,117,True,False,False
2019,227,False,True,False
2010,88,True,False,False
2023,8,False,False,True
2016,183,False,False,True
2020,209,True,False,False
2020,158,False,False,True
2010,91,True,False,False
2012,109,False,False,True
2021,233,False,False,True
2018,1,True,False,False
2015,191,True,False,False
2015,141,True,False,False
2021,227,False,True,False
2012,98,True,False,False
2009,115,False,False,True
2020,173,True,False,False
2012,183,False,False,True
2019,36,False,True,False
2015,207,False,True,False
2015,68,False,False,True
2017,51,False,True,False
2022,150,False,False,True
2003,29,False,True,False
2013,116,True,False,False
2014,152,False,False,True
2020,75,False,False,True
2009,33,True,False,False
2015,127,True,False,False
2016,106,False,False,True
2019,115,False,False,True
2019,38,False,False,True
2016,179,False,False,True
2022,109,False,True,False
2012,152,False,True,False
2010,7,False,True,False
2013,60,False,True,False
2021,196,False,True,False
2014,229,False,True,False
2012,23,False,False,True
2008,126,False,False,True
2002,187,False,False,True
2015,81,False,False,True
2020,85,True,False,False
2019,12,True,False,False
2013,222,True,False,False
2012,78,False,True,False
2017,27,False,False,True
2010,72,False,True,False
2012,17,False,True,False
2017,185,False,False,True
2013,158,False,True,False
2011,217,False,True,False
2017,156,True,False,False
2017,55,True,False,False
2010,75,True,False,False
2009,54,False,False,True
2023,74,False,True,False
2021,182,True,False,False
2012,2,True,False,False
2017,38,True,False,False
2017,238,True,False,False
2000,64,False,False,True
2014,33,False,False,True
2011,80,False,False,True
2021,175,True,False,False
2021,129,False,False,True
2011,138,False,False,True
2016,187,True,False,False
2020,107,True,False,False
2012,122,True,False,False
2017,66,True,False,False
2010,157,True,False,False
2021,62,False,False,True
2018,64,True,False,False
2015,33,False,True,False
2011,233,False,False,True
2017,47,True,False,False
2009,0,True,False,False
2021,109,True,False,False
2002,126,True,False,False
2020,150,False,False,True
2015,228,True,False,False
2017,84,False,False,True
2017,201,False,False,True
2022,42,True,False,False
2022,174,False,False,True
2021,30,False,False,True
2019,7,False,True,False
2015,224,True,False,False
2019,231,True,False,False
2015,117,False,True,False
2021,97,True,False,False
2018,156,False,True,False
2023,12,False,False,True
2018,212,True,False,False
2016,12,False,False,True
2017,38,False,False,True
2016,99,True,False,False
2019,73,False,True,False
2008,82,False,True,False
2015,158,False,False,True
2022,60,False,False,True
2022,233,True,False,False
2018,102,False,False,True
2019,13,True,False,False
2020,110,True,False,False
2022,121,True,False,False
2016,185,False,False,True
2014,112,False,False,True
2016,72,False,True,False
2012,222,False,False,True
2009,26,True,False,False
2019,227,False,False,True
2009,64,True,False,False
2010,27,True,False,False
2010,229,False,True,False
2003,7,True,False,False
2016,68,False,False,True
2009,229,False,True,False
2012,193,False,False,True
2016,235,False,False,True
2016,67,True,False,False
2016,36,False,True,False
2020,152,False,False,True
2014,127,True,False,False
2023,114,False,False,True
2019,69,True,False,False
2018,10,True,False,False
2013,66,False,False,True
2016,155,False,True,False
2003,237,False,False,True
2017,114,True,False,False
2023,95,False,False,True
2006,118,True,False,False
2009,62,True,False,False
2017,138,True,False,False
2015,109,True,False,False
2022,173,True,False,False
2022,179,True,False,False
2008,118,False,False,True
2019,196,True,False,False
2016,193,False,False,True
2017,45,True,False,False
2023,187,False,False,True
